,,Date,Open,Close,High,Low,Volume,Money,Factor,Adj Close
600519.XSHG,2553,2018-03-14,642.22,657.79,658.88,640.0,4127922.0,2683830110.0,6.764744,657.79
600519.XSHG,2554,2018-03-15,658.82,675.52,676.0,658.82,6204607.0,4161645760.0,6.764744,675.52
600519.XSHG,2555,2018-03-16,676.54,669.53,682.32,668.65,3962141.0,2676682524.0,6.764744,669.53
600519.XSHG,2556,2018-03-19,673.26,681.86,682.33,668.76,4272771.0,2897348542.0,6.764744,681.86
600519.XSHG,2557,2018-03-20,678.71,676.66,680.52,669.67,3191016.0,2154897794.0,6.764744,676.66
600519.XSHG,2558,2018-03-21,678.81,671.48,681.53,669.67,2955148.0,1996584261.0,6.764744,671.48
600519.XSHG,2559,2018-03-22,673.29,657.07,676.9,655.2,4142421.0,2748721669.0,6.764744,657.07
600519.XSHG,2560,2018-03-23,634.37,643.48,654.72,633.54,5806573.0,3727044980.0,6.764744,643.48
600519.XSHG,2561,2018-03-26,640.71,645.68,647.1,635.17,5111437.0,3276880070.0,6.764744,645.68
600519.XSHG,2562,2018-03-27,654.28,646.81,656.89,637.09,5254243.0,3399900239.0,6.764744,646.81
600519.XSHG,2563,2018-03-28,633.44,617.22,636.18,605.41,12546475.0,7786098263.0,6.764744,617.22
600519.XSHG,2564,2018-03-29,617.36,623.6,631.52,595.83,8738790.0,5362890034.0,6.764744,623.6
600519.XSHG,2565,2018-03-30,620.8,618.64,627.59,615.26,4037809.0,2502696336.0,6.764744,618.64
600519.XSHG,2566,2018-04-02,615.37,615.42,625.32,610.04,3540413.0,2185060765.0,6.764744,615.42
600519.XSHG,2567,2018-04-03,613.56,613.48,621.7,611.2,4446150.0,2737509485.0,6.764744,613.48
600519.XSHG,2568,2018-04-04,617.18,628.05,633.86,615.71,6286658.0,3948712791.0,6.764744,628.05
600519.XSHG,2569,2018-04-09,630.84,631.93,638.38,624.55,3407143.0,2149178951.0,6.764744,631.93
600519.XSHG,2570,2018-04-10,637.81,640.72,641.16,632.07,3540874.0,2252069676.0,6.764744,640.72
600519.XSHG,2571,2018-04-11,642.52,638.32,646.84,636.2,2842487.0,1822237882.0,6.764744,638.32
600519.XSHG,2572,2018-04-12,637.09,628.22,639.69,626.43,3393945.0,2139139504.0,6.764744,628.22
600519.XSHG,2573,2018-04-13,632.11,621.58,634.37,619.97,3044303.0,1904051062.0,6.764744,621.58
600519.XSHG,2574,2018-04-16,615.89,616.62,621.57,612.65,3639931.0,2241463093.0,6.764744,616.62
600519.XSHG,2575,2018-04-17,619.89,602.88,620.24,602.34,3886694.0,2377407817.0,6.764744,602.88
600519.XSHG,2576,2018-04-18,607.22,593.32,607.22,583.69,6919319.0,4104175827.0,6.764744,593.32
600519.XSHG,2577,2018-04-19,597.13,615.33,615.37,594.25,4885067.0,2976468492.0,6.764744,615.33
600519.XSHG,2578,2018-04-20,616.27,606.55,628.04,604.72,4587163.0,2831559751.0,6.764744,606.55
600519.XSHG,2579,2018-04-23,602.71,609.95,615.67,602.71,3608938.0,2196761047.0,6.764744,609.95
600519.XSHG,2580,2018-04-24,611.75,624.31,627.59,610.84,5224863.0,3252280969.0,6.764744,624.31
600519.XSHG,2581,2018-04-25,623.51,625.3,626.23,618.1,2790445.0,1738767067.0,6.764744,625.3
